pres_nm,facil_sn,brno,voucher,FCLTY_NM,FCLTY_TY_NM,CTPRVN_NM,CTPRVN_CD,FULL_ADDR,RSPNSBLTY_TEL_NO
최철길,1,1249203894,True,드림경희대 태권도,태권도,경기,41,경기도 오산시 궐리사로29번길 18드림경희대 태권도(궐동),
정영운,1,8302001179,True,드림도장,합기도,경남,48,경상남도 밀양시 하남읍 수산복개길 132층 드림도장,
김재만,27065,2989400528,True,드림로드 태권도장,태권도,인천,28,인천광역시 연수구 용담로 153대동월드스포츠센터 208호(연수동),
김주원,1,1160796611,True,드림로프줄넘기학원,기타종목,광주,29,"광주광역시 북구 양산택지로79번길 15상가 2층 203호(양산동, 일신아파트)",
김사엽,1,5809300890,True,드림복싱클럽,복싱,서울,11,서울특별시 관악구 남부순환로 1434한미빌딩 4층(신림동),
김석규,26525,3581000679,True,드림복싱클럽,복싱,경기,41,경기도 평택시 송탄로 1193층(이충동),
이주현,1,2778200305,True,드림스포츠 하위나이트,축구,경기,41,경기도 안산시 상록구 중보로 21501호(이동),
김재환,1,6469500476,True,드림스포츠팩토리,수영,경기,41,경기도 오산시 경기대로658번길 45드림스포츠팩토리 1층(내삼미동),
황정미,1,4161189981,True,드림실내풋살장,축구,전남,46,전라남도 광양시 광양읍 매천로 776드림실내풋살장,
박현호,1,4079307583,True,드림심리상담연구소,기타종목,대구,27,대구광역시 남구 대명로 60-23층(대명동),
조승현,1,1739201603,True,드림아이 태권도장,태권도,전남,46,"전라남도 목포시 용해지구로88번길 23상가2층 드림아이 태권도장(용해동, 골드디움5차아파트)",
정연수,1,8149501501,True,드림아이태권도,태권도,서울,11,서울특별시 중랑구 신내로7길 16건영2차상가 4층 드림아이태권도(신내동),
김대영,1,4078801853,True,(주)빅클라이밍,클라이밍,경남,48,경상남도 진주시 정촌면 삼일로105번길 32-15(주)빅클라이밍,0557631316
임우택,25906,5069209479,True,드림아이태권도,태권도,경북,47,경상북도 포항시 남구 연일읍 유강길9번길 57대림2차상가 3층 드림아이태권도(대림한숲타운2차아파트),
이민욱,24877,4689800218,True,드림아이태권도,태권도,서울,11,서울특별시 광진구 자양로53길 212층 드림아이태권도(구의동),
