main_event_cd,city_nm,main_event_nm,city_cd,pres_nm,faci_daddr,row_num,facil_nm,facil_sn,road_addr,local_nm,faci_zip,local_cd,brno,facil_gbn_nm,res_telno,voucher
3,부산,기타종목,26,최정화,5층 다함께차차차특수체육운동발달센터(대연동),17039,다함께차차차특수체육센터 주식회사,1,부산광역시 남구 수영로 300,남구,48499,26290,7928103196,강좌,,True
75,강원,합기도,51,유진,3층,17040,강유관,1,강원도 영월군 주천면 주천로58번길 29,영월군,26203,51750,3526200442,강좌,,True
22,충남,태권도,44,이승화,21-10,17041,고려승화체육관,2101,충남 금산군 금산읍,금산군,312800,44710,3059199503,강좌,0417544480,True
22,서울,태권도,11,최연미,2층 천명태권도(세곡동),17042,천명태권도(세곡동),1,서울특별시 강남구 헌릉로618길 7,강남구,6365,11680,8319301860,강좌,,True
78,충북,요가,43,이선희,4층(용담동),17043,썬필라테스,1,충청북도 청주시 상당구 수영로 303-1,청주시,28744,43110,1503601356,강좌,,True
3,경기,기타종목,41,김진묘,202호(생연동),17044,대성베스트특공무술 경찰무도교육원,1,경기도 동두천시 행선로 98,동두천시,11359,41250,5912901490,강좌,0319287669,True
75,경남,합기도,48,정상훈,3층 무림합기도(풍호동),17045,무림합기도,1,경상남도 창원시 진해구 충장로 575-3,창원시,51653,48120,2599301618,강좌,,True
76,대구,복싱,27,안상목,204호 복싱팩토리(동천동),17046,복싱팩토리,1,대구광역시 북구 동암로 110,북구,41423,27230,1659201903,강좌,,True
3,경기,기타종목,41,안태우,4층 주짓수 던전(지산동),17047,존프랭클 송탄 주짓수 던전,1,경기도 평택시 지산로 80,평택시,17729,41220,6110665260,강좌,,True
12,서울,수영,11,정문헌,올림픽기념국민생활관(혜화동),17048,종로구시설관리공단,5421,서울특별시 종로구 성균관로 91,종로구,3066,11110,2088206069,강좌,027456701,True
3,경기,기타종목,41,임재옥,3층 (일산동),17049,Snpe일산역점,1,경기도 고양시 일산서구 고양대로 676,고양시,10353,41280,3092300323,강좌,0319765476,True
77,대전,발레,30,정숙,세영빌딩4층403호(지족동),17050,이화발레무용학원,1,대전광역시 유성구 지족로 298,유성구,34073,30200,7599101792,강좌,0428227172,True
22,서울,태권도,11,장용중,2층 경희대 토성 태권도(풍납동),17051,경희대 토성 태권도,1,서울특별시 송파구 토성로 21,송파구,5534,11710,4129201774,강좌,024862230,True
22,부산,태권도,26,최해선,여명빌딩 3층,17052,용인대월내태권도장,1,부산광역시 기장군 장안읍 해맞이로 425,기장군,46035,26710,2299102285,강좌,0517274312,True
79,전북,필라테스,52,이철주,"1동 3층 307호, 308호(상동, 학산타워)(상동)",17053,더본 필라테스,1,전라북도 정읍시 학산로 89-19,정읍시,56192,52180,1931801820,강좌,0635362777,True
17,부산,유도,26,문부경,10층 국대유도아카데미(개금동),17054,국대유도아카데미,1,부산광역시 부산진구 가야대로 479,부산진구,47268,26230,7049501897,강좌,0518958883,True
12,전북,수영,52,심보균,익산문화체육센터(부송동),17055,익산시 도시관리공단 문화체육센터,2,전라북도 익산시 선화로 823,익산시,54548,52140,6258200538,강좌,0638392859,True
